Timestamp,X,Y,Z
2024-08-15T13:03:46.795729,-0.01,-0.04,1.01
2024-08-15T13:03:51.797978,-0.01,-0.04,1.01
2024-08-15T13:03:56.800188,-0.01,-0.04,1.01
2024-08-15T13:04:01.803448,-0.01,-0.04,1.01
2024-08-15T13:04:06.804402,-0.01,-0.04,1.01
2024-08-15T13:04:11.806936,-0.01,-0.04,1.01
2024-08-15T13:04:16.809724,-0.01,-0.04,1.01
2024-08-15T13:04:21.811807,-0.01,-0.04,1.01
2024-08-15T13:04:26.813908,-0.01,-0.04,1.01
2024-08-15T13:04:31.815993,-0.01,-0.04,1.01
2024-08-15T13:04:36.816778,-0.01,-0.04,1.01
2024-08-15T13:04:41.819008,-0.01,-0.04,1.01
2024-08-15T13:04:46.822310,-0.01,-0.04,1.01
2024-08-15T13:04:51.823128,-0.0,-0.04,1.01
2024-08-15T13:04:56.827165,-0.01,-0.04,1.01
2024-08-15T13:05:01.829628,-0.01,-0.04,1.01
2024-08-15T13:05:06.830927,-0.01,-0.04,1.01
2024-08-15T13:05:11.832927,-0.01,-0.04,1.01
2024-08-15T13:05:16.835021,-0.01,-0.04,1.01
2024-08-15T13:05:21.836829,-0.01,-0.04,1.01
2024-08-15T13:05:26.837803,-0.01,-0.04,1.01
2024-08-15T13:05:31.840529,-0.01,-0.04,1.01
2024-08-15T13:05:36.843325,-0.01,-0.04,1.01
2024-08-15T13:05:41.846076,-0.01,-0.04,1.0
2024-08-15T13:05:46.847618,-0.01,-0.04,1.01
2024-08-15T13:05:51.849656,-0.01,-0.04,1.01
2024-08-15T13:05:56.850559,-0.01,-0.04,1.01
2024-08-15T13:06:01.852982,-0.01,-0.04,1.01
2024-08-15T13:06:06.855434,-0.01,-0.04,1.01
2024-08-15T13:06:11.857104,-0.01,-0.04,1.01
2024-08-15T13:06:16.860285,-0.01,-0.04,1.01
2024-08-15T13:06:21.862467,-0.01,-0.04,1.01
2024-08-15T13:06:26.864642,-0.01,-0.04,1.01
2024-08-15T13:06:31.866832,-0.01,-0.04,1.01
2024-08-15T13:06:36.868901,-0.01,-0.04,1.01
2024-08-15T13:06:41.871092,-0.01,-0.04,1.01
2024-08-15T13:06:46.873182,-0.01,-0.04,1.01
2024-08-15T13:06:51.875259,-0.01,-0.04,1.01
2024-08-15T13:06:56.877128,-0.01,-0.04,1.01
2024-08-15T13:07:01.878395,-0.01,-0.04,1.01
2024-08-15T13:07:06.881677,-0.01,-0.04,1.01
2024-08-15T13:07:11.883649,-0.01,-0.04,1.01
2024-08-15T13:07:16.884994,-0.01,-0.04,1.01
2024-08-15T13:07:21.886695,-0.01,-0.04,1.01
2024-08-15T13:07:26.889950,-0.01,-0.04,1.01
2024-08-15T13:07:31.890735,-0.01,-0.04,1.01
2024-08-15T13:07:36.893239,-0.01,-0.04,1.01
2024-08-15T13:07:41.896027,-0.01,-0.04,1.01
2024-08-15T13:07:46.898837,-0.01,-0.04,1.01
2024-08-15T13:07:51.901046,-0.01,-0.04,1.01
2024-08-15T13:07:56.902870,-0.01,-0.04,1.01
2024-08-15T13:08:01.905357,-0.01,-0.04,1.01
2024-08-15T13:08:06.906569,-0.01,-0.04,1.01
2024-08-15T13:08:11.909550,-0.01,-0.04,1.01
2024-08-15T13:08:16.911847,-0.01,-0.04,1.01
2024-08-15T13:08:21.913844,-0.01,-0.04,1.01
2024-08-15T13:08:26.917248,-0.01,-0.04,1.01
2024-08-15T13:08:31.918237,-0.01,-0.04,1.01
2024-08-15T13:08:36.918690,-0.01,-0.04,1.01
2024-08-15T13:08:41.921235,-0.01,-0.04,1.01
2024-08-15T13:08:46.924532,-0.01,-0.04,1.01
2024-08-15T13:08:51.925707,-0.01,-0.04,1.01
2024-08-15T13:08:56.929029,-0.01,-0.04,1.01
2024-08-15T13:09:01.930713,-0.01,-0.04,1.01
2024-08-15T13:09:06.933556,-0.01,-0.04,1.01
2024-08-15T13:09:11.935086,-0.01,-0.04,1.01
2024-08-15T13:09:16.937579,-0.01,-0.04,1.01
2024-08-15T13:09:21.939270,-0.01,-0.04,1.01
2024-08-15T13:09:26.941597,-0.01,-0.04,1.01
2024-08-15T13:09:31.942927,-0.01,-0.04,1.01
2024-08-15T13:09:36.945656,-0.01,-0.04,1.01
2024-08-15T13:09:41.947822,-0.01,-0.04,1.01
2024-08-15T13:09:46.948234,-0.01,-0.04,1.01
2024-08-15T13:09:51.952025,-0.01,-0.04,1.01
2024-08-15T13:09:56.952598,-0.01,-0.04,1.01
2024-08-15T13:10:01.956238,-0.01,-0.04,1.01
2024-08-15T13:10:06.957894,-0.01,-0.04,1.01
2024-08-15T13:10:11.959304,-0.01,-0.04,1.01
2024-08-15T13:10:16.962503,-0.01,-0.04,1.01
2024-08-15T13:10:21.964708,-0.0,-0.04,1.02
2024-08-15T13:10:26.967318,-0.01,-0.04,1.0
2024-08-15T13:10:31.969075,-0.01,-0.04,1.01
2024-08-15T13:10:36.970098,-0.01,-0.04,1.01
2024-08-15T13:10:41.973280,-0.01,-0.04,1.01
2024-08-15T13:10:46.975386,-0.01,-0.04,1.01
2024-08-15T13:10:51.977963,-0.01,-0.04,1.01
